                                mean         std        2.5q        25q        50q        75q       97.5q       mc err
z_subj.20                   0.539531   0.0253674    0.490773   0.522288   0.539374     0.5565    0.590047  0.000257504
z_subj.21                   0.517501   0.0253552    0.467084    0.50098   0.517531   0.534368    0.567842  0.000212946
z_subj.22                   0.505875   0.0248059    0.456851   0.489292   0.506048   0.522826    0.553344  0.000268485
z_subj.23                   0.515284    0.026439    0.463924   0.497438   0.515331   0.533263    0.567597  0.000238917
z_subj.24                   0.513009   0.0252459    0.463253   0.496037   0.513143   0.529898    0.562361  0.000282447
z_subj.25                   0.485674   0.0254715    0.435597   0.468648   0.485944   0.503151    0.535037  0.000291919
z_subj.26                   0.539701   0.0258963    0.488816   0.522405   0.539488   0.556924     0.59067  0.000245272
z_subj.27                   0.549195     0.02619    0.497943   0.531508    0.54935    0.56682      0.6004  0.000293642
z_subj.28                   0.532826   0.0255405     0.48243    0.51563   0.532792   0.550436    0.582059  0.000238637
z_subj.29                   0.533586   0.0251997    0.483589   0.516758   0.533767   0.550755    0.582402  0.000247728
z_subj.30                   0.542257   0.0247316    0.493851   0.525757    0.54195   0.558795     0.59109  0.000217319
z_subj.31                   0.524314   0.0252149    0.475193   0.507385   0.524521    0.54141    0.573318   0.00022891
z_subj.32                   0.501384    0.024878    0.452029   0.484935   0.501508   0.518081    0.550331  0.000255443
z_subj.33                   0.565144   0.0276995    0.511713   0.546433    0.56498   0.583495    0.620235  0.000345791
z_subj.34                   0.534327   0.0246266    0.484913   0.518063   0.534399   0.550834    0.582377  0.000245536
z_subj.36                   0.545489   0.0262467    0.494168    0.52779   0.545435   0.563142    0.597133  0.000246101
z_subj.37                   0.560003   0.0258846    0.510455   0.542333   0.559723   0.576955    0.612778  0.000278236
z_subj.38                   0.529332   0.0253375    0.479779   0.512523   0.529465   0.546082    0.579551  0.000281893
z_subj.39                   0.489878   0.0259782    0.438865   0.472217   0.490054   0.507748    0.539629  0.000307902
z_subj.40                   0.495845   0.0256192    0.444533   0.478844   0.496266   0.513075    0.545863  0.000247782
z_subj.41                   0.522311   0.0256052    0.472166   0.505023   0.522329   0.539526    0.572248  0.000250227
z_subj.42                   0.525256   0.0253942    0.475879   0.508016   0.525121   0.542181    0.574926  0.000271926
z_subj.43                   0.535129   0.0239085    0.488237   0.519092   0.535008   0.551157    0.582264  0.000220344
z_subj.44                   0.509492    0.024465    0.460821   0.493301    0.50951   0.525982    0.557713  0.000213209
z_subj.45                   0.481565    0.027793    0.426828    0.46289   0.481423   0.500258    0.535124  0.000396217
z_subj.46                   0.532414   0.0247395    0.483671   0.515947   0.532485   0.548883    0.580385  0.000270626
z_subj.47                   0.531199   0.0250937    0.483579   0.514195   0.530879   0.547954     0.58168    0.0002622
z_subj.48                   0.511722   0.0241027    0.463956   0.495768   0.512025   0.527911    0.558715   0.00021278
z_subj.49                   0.499344   0.0257172    0.446976   0.482303   0.499665   0.516555    0.548855  0.000317379
z_subj.50                   0.492943    0.025964    0.441572   0.475384   0.493317    0.51071    0.542816  0.000307408
z_subj.51                   0.541561   0.0262498    0.489186   0.524181   0.541585   0.559088    0.593277  0.000302803
z_subj.53                   0.559604   0.0264768     0.50725    0.54178   0.559505   0.577204    0.611567  0.000278485
z_subj.54                   0.495509   0.0256715    0.444035   0.478391   0.495926   0.513117    0.545112  0.000255098
z_subj.55                   0.520063    0.024646    0.472582   0.503296   0.520088   0.536707    0.568699  0.000270253
z_subj.56                   0.487104   0.0261269    0.434466   0.469876   0.487414   0.504971    0.536924   0.00035109
z_subj.57                   0.552366   0.0262703    0.501047   0.534936    0.55224   0.570208     0.60409   0.00028436
z_subj.58                   0.503527   0.0250876     0.45464   0.486662   0.504071   0.520694    0.551318  0.000282709
z_subj.59                    0.50716   0.0259221    0.455278   0.490108   0.507332   0.524589    0.557506  0.000244081
z_subj.60                   0.547079   0.0249511    0.498505   0.530193   0.546922   0.563694     0.59672  0.000229266
z_subj.61                    0.54642   0.0250204    0.497629   0.529824   0.546375   0.562979    0.595754  0.000246706
z_subj.62                   0.493749   0.0257215    0.442255    0.47654    0.49415   0.511197    0.543691  0.000288103
z_subj.63                   0.538577   0.0252658    0.489363   0.521758   0.538831   0.555546    0.587631  0.000308515
z_subj.64                   0.517224   0.0255083    0.466822   0.500421    0.51727   0.534385    0.566723  0.000278868
z_subj.65                    0.59786   0.0292531    0.542026   0.577524   0.597799   0.617524    0.655461  0.000483605
z_subj.66                   0.548689   0.0251939    0.499408   0.531668   0.548609   0.565405    0.598378  0.000261905
z_subj.67                   0.496841   0.0248479    0.447496   0.480393     0.4969   0.513374    0.545645  0.000294039
z_subj.68                   0.493216   0.0254179    0.442974   0.476272    0.49372   0.510512    0.541548  0.000250021
z_subj.69                   0.541348   0.0260128    0.490161   0.523751     0.5417   0.558778    0.592336   0.00026888
z_subj.70                   0.520573   0.0252938    0.471033   0.503205   0.520812   0.537541    0.570559  0.000226736
z_subj.71                   0.520441   0.0245579    0.471641   0.504016   0.520506   0.537295    0.568016  0.000220364
z_subj.72                   0.567036   0.0270214    0.514549   0.548623   0.567015   0.585237    0.620887  0.000347575
z_subj.73                   0.541628   0.0260415    0.490126    0.52438   0.541559   0.558484    0.593255  0.000275211
z_subj.74                   0.542724    0.026291    0.492057   0.524777   0.542611   0.560528    0.593846  0.000287632
z_subj.75                   0.535701    0.026197    0.483607   0.518171   0.535879   0.553422    0.586424  0.000290218
z_subj.76                   0.498635    0.025019     0.44851   0.482137   0.498962   0.515739    0.546607  0.000276716
z_subj.78                   0.523885   0.0242805    0.476387     0.5077   0.523941    0.54009    0.571714  0.000213117
z_subj.79                   0.502085   0.0256742    0.451902   0.484725   0.502143   0.519239    0.552472  0.000259454
z_subj.80                   0.522169   0.0258077    0.471361   0.504771   0.522142   0.539679    0.572514  0.000259646
z_subj.81                   0.484128   0.0265129    0.431507   0.466453   0.484593   0.502423    0.534996  0.000345691
z_subj.82                   0.491402   0.0258722    0.440134   0.474073   0.491719   0.509068    0.541178  0.000309886
z_subj.83                   0.534974   0.0244821    0.486592    0.51843   0.535262   0.551498    0.582716  0.000220137
z_subj.84                   0.522989   0.0253251     0.47334   0.506016   0.523054     0.5402    0.572325  0.000222766
z_subj.85                   0.512243   0.0259588    0.460388   0.494916   0.512121   0.529337    0.563835  0.000236855
z_subj.86                   0.520219   0.0249284    0.470921     0.5034   0.520202   0.537106    0.568526  0.000223616
z_subj.88                   0.523832   0.0266835    0.471304   0.506008   0.523616   0.541796    0.576422  0.000246988
z_subj.89                   0.529851   0.0251434    0.480219   0.512756   0.529903   0.546858    0.578962  0.000253424
z_subj.90                   0.507884   0.0250782    0.458535   0.491264   0.508087   0.524599    0.556507  0.000215235
z_subj.91                     0.5009   0.0270015    0.447065    0.48286   0.501343   0.519291    0.552097  0.000305746
z_subj.92                   0.492375   0.0255674    0.441103   0.475586   0.492836   0.509504     0.54261  0.000285171
z_subj.93                   0.551514   0.0260262     0.50093   0.534012   0.551359   0.568915    0.602637  0.000282284
z_subj.94                   0.503479    0.026002    0.451402   0.486443    0.50387   0.520901    0.553661  0.000281562
z_subj.95                   0.540283   0.0250617    0.491567   0.523463   0.540343   0.557199    0.589201  0.000270584
