                                  mean         std        2.5q        25q        50q        75q      97.5q       mc err
t_subj.98                       2.0455    0.121566     1.76544    1.97716    2.05886    2.13177    2.23767   0.00124906
t_subj.99                     0.973476    0.103008    0.735717   0.913545   0.987643    1.04763    1.13581   0.00124655
t_subj.100                     1.21427    0.067883     1.05775    1.17506    1.22332    1.26263    1.32015  0.000730283
sz                            0.067591   0.0451724  0.00314823  0.0306221  0.0612735  0.0983162   0.165953  0.000708854
z                             0.497596  0.00646933    0.484798    0.49329   0.497616   0.501967    0.51028  0.000121555
z_std                         0.188455   0.0233365    0.144952   0.172327   0.187543   0.203673   0.237078  0.000460563
z_subj.2                      0.515317   0.0284205     0.45982   0.496208   0.515327   0.534607   0.570198  0.000228792
z_subj.3                      0.460102   0.0285604    0.404232   0.441073   0.459912   0.479318   0.516859  0.000268681
z_subj.4                      0.485065   0.0274831    0.431573   0.466347   0.485007   0.503733   0.538166  0.000264075
z_subj.6                      0.435072   0.0299468    0.376568    0.41512   0.435225   0.454946   0.494031  0.000389023
z_subj.7                      0.516575   0.0267826    0.464771   0.498466   0.516761   0.534877    0.56849  0.000257212
z_subj.8                      0.531846   0.0275964    0.477313   0.513438   0.531962   0.550401   0.585921  0.000268929
z_subj.9                      0.453882   0.0301326    0.395008   0.433605   0.453956   0.474371   0.512338  0.000387395
z_subj.11                     0.403649   0.0308052    0.343694   0.382795   0.403711   0.424625   0.464043  0.000435223
z_subj.12                     0.476808   0.0286912    0.421218   0.457419   0.476817   0.496298   0.533304  0.000294394
z_subj.13                     0.500159   0.0305367    0.440517   0.479691   0.500088   0.520583   0.560342  0.000286417
z_subj.14                     0.446495     0.02888    0.389669   0.427097   0.446182   0.466108   0.504178  0.000313601
z_subj.15                     0.580847   0.0296945    0.523201   0.560551   0.580543   0.600856   0.639846  0.000403064
z_subj.16                     0.530594   0.0289221    0.474145   0.510921   0.530342   0.550175   0.587678  0.000338597
z_subj.17                     0.478329   0.0280338    0.423487   0.459491   0.478316   0.496942   0.533646  0.000316531
z_subj.18                     0.603748   0.0315559    0.541865   0.582581   0.604079   0.625012   0.665295  0.000479864
