                                 mean        std        2.5q        25q        50q        75q       97.5q       mc err
v_C(whichWorld)[1]_subj.6    0.292207   0.119631   0.0552973   0.216489   0.291635   0.368597    0.535056     0.001082
v_C(whichWorld)[1]_subj.7    0.461253   0.100826    0.275674   0.391343   0.457046   0.525803     0.67193   0.00162832
v_C(whichWorld)[1]_subj.8     0.40583  0.0903918    0.237201   0.343051   0.402781   0.464927    0.590712   0.00119627
v_C(whichWorld)[1]_subj.9    0.342791  0.0961908     0.16034   0.277103   0.340857   0.405958    0.540306   0.00113055
v_C(whichWorld)[1]_subj.10   0.371527  0.0830277    0.214293    0.31509   0.370874   0.426466    0.539907   0.00112906
v_C(whichWorld)[1]_subj.11   0.358054  0.0970594    0.174176   0.293633   0.355854   0.421132    0.556956  0.000987001
v_C(whichWorld)[1]_subj.12   0.203014  0.0740769     0.05356   0.153827   0.204595   0.253091    0.344044  0.000831471
v_C(whichWorld)[1]_subj.13   0.219171  0.0905469   0.0349678    0.15969   0.221908   0.279721    0.393886  0.000889155
v_C(whichWorld)[1]_subj.15   0.306958  0.0805159    0.148279   0.253371   0.306303   0.360144    0.465436  0.000835886
v_C(whichWorld)[1]_subj.16   0.217547  0.0794894   0.0579385   0.166008   0.218974   0.270826    0.369375  0.000788032
v_C(whichWorld)[1]_subj.17   0.150362  0.0791132  -0.0119725  0.0980875   0.152929   0.204568    0.301205   0.00102035
v_C(whichWorld)[1]_subj.18   0.188489   0.101183  -0.0183879   0.123814   0.191989   0.256976    0.377436     0.001226
v_C(whichWorld)[1]_subj.19   0.273235  0.0916152   0.0891955   0.213002   0.274357   0.334111    0.455078  0.000792748
v_C(whichWorld)[1]_subj.20   0.369687   0.086311    0.208239   0.311165   0.366827   0.425272    0.547071   0.00100882
v_C(whichWorld)[1]_subj.21   0.128648  0.0682198 -0.00649552  0.0831072   0.129008   0.175076     0.25814  0.000913806
v_C(whichWorld)[1]_subj.22   0.207045   0.103743 -0.00445213   0.139669   0.210789   0.277635    0.402372   0.00102292
v_C(whichWorld)[1]_subj.23   0.241158  0.0659435    0.110117   0.197229    0.24172   0.285529    0.369614  0.000657385
v_C(whichWorld)[1]_subj.24   0.257399  0.0761252    0.105934   0.208137   0.257404    0.30846    0.407165  0.000728318
v_C(whichWorld)[1]_subj.25   0.401817  0.0705558    0.266746   0.354166   0.400433   0.448188    0.546355  0.000873244
v_C(whichWorld)[1]_subj.26    0.34812   0.114283    0.130998   0.271557   0.345521   0.421335    0.580933   0.00132981
v_C(whichWorld)[1]_subj.27   0.331824   0.104229    0.132336   0.261808   0.329468   0.398342      0.5459   0.00106136
v_C(whichWorld)[1]_subj.28   0.338943  0.0847123    0.174546   0.281548   0.338561   0.394196    0.506714  0.000868858
v_C(whichWorld)[1]_subj.29   0.364718   0.116858    0.145617   0.284925   0.361428   0.439461    0.606568   0.00109474
v_C(whichWorld)[1]_subj.30   0.319514     0.1004    0.126879   0.253225   0.317932   0.384512    0.523393  0.000925049
